day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd,,,,,
0,0.62244484,8543,0.791993445,0.619420633,0.00396524,0.063943692,-0.086671531,0.708476096,0.717408538,0.712942317,,,,
1,0.585808135,9196,0.764354067,0.63294921,0.00119577,0.057477912,-0.007280111,0.720444128,0.720857441,0.720650785,0.063943692,0.057477912,0.014739812,0.040648308
2,0.523875937,2538,0.745074862,0.624537282,0.001010047,0.014739812,-0.026477456,0.743066967,0.712390751,0.727728859,0.246615758,0.263690167,0.53868869,0.716101245
3,0.543930542,7420,0.747843666,0.627500451,0.001034253,0.040648308,-0.021993935,0.722314104,0.714710653,0.718512379,0.07701282,0.016433025,0.017472137,0.045045707
4,0.521909956,17535,0.810322213,0.682595538,0.000817867,0.246615758,-0.092730939,0.742098987,0.742663026,0.742381007,0.065255982,0.078117126,0.081009895,0.063990795
5,0.377716762,22621,0.797621679,0.669179183,0.001548097,0.263690167,-0.011088073,0.734235257,0.733257115,0.733746186,0.008096797,0.018996109,0.053179667,0.034752204
6,0.367088296,24996,0.813530165,0.735185641,0.001059562,0.53868869,-0.062291145,0.742621735,0.737531006,0.740076371,0.050483876,0.083272574,0.083685335,0.011757425
7,0.319319086,30857,0.815665813,0.767491756,0.001280142,0.716101245,-0.001849055,0.736907274,0.730081499,0.733494387,0.008878706,0.046938626,0.045547688,0.057540199
8,0.41758988,4197,0.715749345,0.749001332,0.000995471,0.07701282,0.032752633,0.684380651,0.701068074,0.692724363,0.079260955,0.062514801,0.020892223,0.023044696
9,0.38529254,2617,0.636988919,0.691661668,0.002802427,0.016433025,0.014588475,0.722202644,0.733856916,0.72802978,0.076646359,0.116658097,0.137088732,0.059436083
10,0.401587759,2980,0.652348993,0.678497942,0.002464775,0.017472137,0.029000401,0.740265816,0.745800555,0.743033186,0.109878643,0.10383349,-0.028779433,-0.11387404
11,0.469881764,5219,0.705690745,0.680423568,0.001486927,0.045045707,-0.035710454,0.74685365,0.75906387,0.75295876,-0.003613693,0.035755629,-0.002693993,-0.000238853
12,0.517670378,5437,0.793636196,0.682271147,0.00073776,0.065255982,0.010552883,0.679564178,0.641227081,0.66039563,0.071132718,0.080335232,0.08734825,0.085291252
13,0.524546691,5967,0.803251215,0.690173169,0.000405493,0.078117126,-0.045300484,0.679507077,0.640747547,0.660127312,0.071132718,0.080335232,0.08734825,0.085291252
14,0.541358915,6736,0.822001188,0.665522846,0.000491096,0.081009895,0.04042685,0.683597997,0.639885664,0.661741831,,,,
15,0.524398821,5644,0.804394047,0.658810573,0.00069412,0.063990795,-0.034826219,0.675982475,0.635393545,0.65568801,,,,
16,0.451826802,1902,0.675078864,0.644080997,0.00120453,0.008096797,0.008763075,0.780652225,0.752877295,0.76676476,,,,
17,0.483887407,2522,0.695479778,0.64709236,0.000940469,0.018996109,0.029282689,0.786768898,0.76612407,0.776446484,,,,
18,0.552841501,4663,0.767102724,0.675985463,0.001035258,0.053179667,-0.035875738,0.805082843,0.793278754,0.799180799,,,,
19,0.518237178,3448,0.731728538,0.680142687,0.001530171,0.034752204,0.014358401,0.794502735,0.791328222,0.792915479,,,,
20,0.561902568,3843,0.785584179,0.658496191,0.000589674,0.050483876,0.005700827,0.800939143,0.784832582,0.792885863,,,,
21,0.584296046,4815,0.780477674,0.68680149,0.000735624,0.083272574,-0.009254098,0.790333778,0.788116574,0.789225176,,,,
22,0.566758299,5843,0.771350334,0.686709563,0.000478968,0.083685335,-0.02273953,0.792780042,0.791682124,0.792231083,,,,
23,0.549771927,1897,0.710595677,0.632047478,0.001286786,0.011757425,0.005147576,0.803340316,0.796150357,0.799745337,,,,
24,0.540933515,1501,0.731512325,0.632969035,0.001369306,0.008878706,0.015030861,0.802199334,0.801498771,0.801849053,,,,
25,0.571862986,3393,0.75862069,0.667443667,0.004682016,0.046938626,0.078645945,0.797581732,0.787023872,0.792302802,,,,
26,0.585553243,4057,0.780626078,0.65519419,0.00173673,0.045547688,0.002600789,0.796054125,0.78279382,0.789423973,,,,
27,0.601339083,4481,0.777505021,0.663318025,0.000801519,0.057540199,-0.067028224,0.798482805,0.786701337,0.792592071,,,,
28,0.637995053,3531,0.87114132,0.705786736,0.000312888,0.079260955,0.024565578,0.86614421,0.874722049,0.87043313,,,,
29,0.633663313,3254,0.861401352,0.688547984,0.000325084,0.062514801,-0.025275588,0.861292243,0.873245314,0.867268779,,,,
30,0.590340739,1416,0.844632768,0.643812709,0.000341215,0.020892223,0.002671599,0.860334873,0.850808531,0.855571702,,,,
31,0.595122683,1539,0.858349578,0.629068887,0.000455115,0.023044696,0.00660193,0.862059295,0.852812469,0.857435882,,,,
32,0.648004823,4081,0.890468023,0.695376995,0.000225657,0.076646359,0.046278238,0.895265222,0.871703431,0.883484327,,,,
33,0.658307329,4869,0.878209078,0.717025257,0.000416378,0.116658097,-0.004026175,0.884580433,0.879156888,0.881868661,,,,
34,0.644094267,5300,0.880943396,0.741272221,0.000317551,0.137088732,-0.031996906,0.886185095,0.865317345,0.87575122,,,,
35,0.644554792,2940,0.891836735,0.696796339,0.000216165,0.059436083,-0.008506954,0.90351671,0.877100348,0.890308529,,,,
36,0.702270212,3931,0.916560672,0.729114627,0.000501613,0.109878643,-0.029208601,0.923605844,0.930403948,0.927004896,,,,
37,0.706120796,3763,0.914164231,0.747383721,0.000176784,0.10383349,-0.018221855,0.916314274,0.928081051,0.922197663,,,,
38,0.475450848,5391,0.53737711,0.653089403,0.034157669,-0.028779433,-0.056948841,0.920676321,0.930765659,0.92572099,,,,
39,0.276438668,11927,0.478997233,0.739716436,0.11393287,-0.11387404,-0.163339019,0.866720647,0.893774599,0.880247623,,,,
40,0.387023638,9393,0.568721388,0.667165855,0.018696087,-0.003613693,-0.044496298,0.491847217,0.513614997,0.502731107,,,,
41,0.406909702,11572,0.592118908,0.655575015,0.011168028,0.035755629,0.042402267,0.497441903,0.519287542,0.508364723,,,,
42,0.410809268,7201,0.5993612,0.631603336,0.007805761,-0.002693993,-0.094269991,0.554220304,0.585140824,0.569680564,,,,
43,0.4196037,5014,0.601316314,0.662354892,0.004382811,-0.000238853,0.004249573,0.606507301,0.641311526,0.623909414,,,,
,,,,0.677027125,,0.081026863,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
all,0.576067891,27343,0.765058699,0.625699125,0.003870876,0.175618428,-0.136011124,0.720721066,0.717434853,,,,,
all,0.405716294,95947,0.809978426,0.720903301,0.001148759,1.762811018,-0.158636093,0.738757104,0.735254645,,,,,
all,0.422308562,14797,0.680813678,0.700218384,0.002545833,0.139906021,0.039919496,0.725995839,0.737148494,,,,,
all,0.527324032,23749,0.807949808,0.673233271,0.000690929,0.289114257,-0.029113829,0.679950744,0.639420331,,,,,
all,0.509009796,12437,0.733215406,0.67112622,0.001382035,0.116916146,0.015250683,0.795006812,0.782691196,,,,,
all,0.575091172,16361,0.77042968,0.673066244,0.001143601,0.228131177,-0.021227717,0.795187309,0.789682806,,,,,
all,0.586415138,13432,0.76853782,0.658335755,0.004643035,0.158821037,0.025803208,0.79792951,0.787373126,,,,,
all,0.624796353,9760,0.861782787,0.678040661,0.000373747,0.185802973,0.009094596,0.862908065,0.867681667,,,,,
all,0.64985124,17120,0.88411215,0.713860994,0.000384759,0.386663674,0.001190066,0.891382486,0.873111144,,,,,
all,0.54679596,24006,0.649254353,0.720261773,0.098156213,0.107918274,-0.248160899,0.902624011,0.916752726,,,,,
all,0.406744983,27940,0.591016464,0.641312905,0.024258735,0.002155853,-0.095256925,0.538183928,0.563964248,,,,,
