begin,end,f1_1,f1_2,f1_3,f1_4,f1_all,,,,,,
0,10,0.62244484,0.585808135,0.523875937,0.543930542,0.576067891,,,,,,
4,14,0.521909956,0.377716762,0.367088296,0.319319086,0.405716294,,,,,,
8,18,0.41758988,0.38529254,0.401587759,0.469881764,0.422308562,,,,,,
12,22,0.517670378,0.524546691,0.541358915,0.524398821,0.527324032,,,,,,
16,26,0.451826802,0.483887407,0.552841501,0.518237178,0.509009796,,,,,,
20,30,0.561902568,0.584296046,0.566758299,0.549771927,0.575091172,,,,,,
24,34,0.540933515,0.571862986,0.585553243,0.601339083,0.586415138,,,,,,
28,38,0.637995053,0.633663313,0.590340739,0.595122683,0.624796353,,,,,,
32,42,0.648004823,0.658307329,0.644094267,0.644554792,0.64985124,,,,,,
36,46,0.702270212,0.706120796,0.475450848,0.276438668,0.54679596,,,,,,
40,50,0.387023638,0.406909702,0.410809268,0.4196037,0.406744983,,,,,,
,,0.546324697,0.538037428,0.514523552,0.49659984,,,,,,,
begin,0,4,8,12,16,20,24,28,32,36,40,
end,10,14,18,22,26,30,34,38,42,46,50,
f1_1,0.62244484,0.521909956,0.41758988,0.517670378,0.451826802,0.561902568,0.540933515,0.637995053,0.648004823,0.702270212,0.387023638,0.546324697
f1_2,0.585808135,0.377716762,0.38529254,0.524546691,0.483887407,0.584296046,0.571862986,0.633663313,0.658307329,0.706120796,0.406909702,0.538037428
f1_3,0.523875937,0.367088296,0.401587759,0.541358915,0.552841501,0.566758299,0.585553243,0.590340739,0.644094267,0.475450848,0.410809268,0.514523552
f1_4,0.543930542,0.319319086,0.469881764,0.524398821,0.518237178,0.549771927,0.601339083,0.595122683,0.644554792,0.276438668,0.4196037,0.49659984
f1_all,0.576067891,0.405716294,0.422308562,0.527324032,0.509009796,0.575091172,0.586415138,0.624796353,0.64985124,0.54679596,0.406744983,
,,,,,,,,,,,,
,Date,LSTM,DeepLOB,Transformer updated,transformer,,LSTM,DeepLOB,Transformer updated,transformer,,
,2022/5/5,0.633290636,0.62244484,0.636996786,0.635398121,,,,,,,
,2022/5/6,0.593353513,0.585808135,0.593259116,0.594817537,,,,,,,
,2022/5/7,0.552561918,0.523875937,0.562643365,0.551664106,,,,,,,
,2022/5/8,0.556722662,0.543930542,0.560008481,0.559731696,,,,,,,
,2022/5/9,0.528373701,0.521909956,0.528685705,0.532253574,,,,,,,
,2022/5/10,0.385420073,0.377716762,0.383096751,0.380101686,,,,,,,
,2022/5/11,0.365818912,0.367088296,0.366792602,0.365095192,,,,,,,
,2022/5/12,0.322399867,0.319319086,0.319818901,0.321469274,,,,,,,
,2022/5/13,0.446249802,0.41758988,0.388075394,0.418274106,,,,,,,
,2022/5/14,0.383835443,0.38529254,0.330436246,0.341509413,,,,,,,
,2022/5/15,0.38209706,0.401587759,0.34566132,0.345189218,,,,,,,
,2022/5/16,0.451749865,0.469881764,0.451100571,0.441261611,,,,,,,
,2022/5/17,0.538786789,0.517670378,0.53085067,0.538232246,,,,,,,
,2022/5/18,0.540858044,0.524546691,0.535281241,0.542571157,,,,,,,
,2022/5/19,0.551735558,0.541358915,0.552751259,0.559908079,,,,,,,
,2022/5/20,0.537338492,0.524398821,0.534046154,0.543840363,,,,,,,
,2022/5/21,0.478114013,0.451826802,0.461870337,0.457063772,,,,,,,
,2022/5/22,0.502619051,0.483887407,0.493040494,0.479904288,,,,,,,
,2022/5/23,0.561999805,0.552841501,0.574769783,0.556396856,,,,,,,
,2022/5/24,0.531206573,0.518237178,0.528861672,0.520299925,,,,,,,
,2022/5/25,0.554902747,0.561902568,0.586846409,0.576879516,,,,,,,
,2022/5/26,0.58078355,0.584296046,0.610063363,0.603356811,,,,,,,
,2022/5/27,0.567209476,0.566758299,0.593432689,0.596157286,,,,,,,
,2022/5/28,0.538512739,0.549771927,0.563278683,0.550773816,,,,,,,
,2022/5/29,0.536251555,0.540933515,0.573015787,0.552113315,,,,,,,
,2022/5/30,0.564239274,0.571862986,0.606013809,0.593683106,,,,,,,
,2022/5/31,0.577505905,0.585553243,0.62148751,0.609211375,,,,,,,
,2022/6/1,0.595240804,0.601339083,0.632528636,0.62293352,,,,,,,
,2022/6/2,0.595900381,0.637995053,0.6482153,0.643728079,,,,,,,
,2022/6/3,0.59200057,0.633663313,0.635928246,0.628306764,,,,,,,
,2022/6/4,0.546320962,0.590340739,0.577672,0.563414144,,,,,,,
,2022/6/5,0.552287246,0.595122683,0.578164242,0.568619665,,,,,,,
,2022/6/6,0.603907802,0.648004823,0.654514907,0.641970985,,,,,,,
,2022/6/7,0.614694379,0.658307329,0.66622432,0.653747452,,,,,,,
,2022/6/8,0.596522115,0.644094267,0.661025563,0.646952718,,,,,,,
,2022/6/9,0.598332386,0.644554792,0.634233747,0.622193213,,,,,,,
,2022/6/10,0.670467008,0.702270212,0.690266802,0.688325045,,,,,,,
,2022/6/11,0.680421422,0.706120796,0.686355027,0.686246894,,,,,,,
,2022/6/12,0.475506669,0.475450848,0.47301475,0.477903015,,,,,,,
,2022/6/13,0.284736121,0.276438668,0.296411482,0.297170911,,,,,,,
,2022/6/14,0.384564612,0.387023638,0.356296053,0.370771896,,,,,,,
,2022/6/15,0.410606075,0.406909702,0.385240302,0.394359808,,,,,,,
,2022/6/16,0.404460801,0.410809268,0.383877108,0.39857069,,,,,,,
,2022/6/17,0.417380942,0.4196037,0.402756514,0.403956227,,,,,,,
