begin,end,f1_1,f1_2,f1_3,f1_4,f1_all,,,,,,
0,10,0.633290636,0.593353513,0.552561918,0.556722662,0.589646854,,,,,,
4,14,0.528373701,0.385420073,0.365818912,0.322399867,0.409971314,,,,,,
8,18,0.446249802,0.383835443,0.38209706,0.451749865,0.418568058,,,,,,
12,22,0.538786789,0.540858044,0.551735558,0.537338492,0.542437169,,,,,,
16,26,0.478114013,0.502619051,0.561999805,0.531206573,0.524243121,,,,,,
20,30,0.554902747,0.58078355,0.567209476,0.538512739,0.570252367,,,,,,
24,34,0.536251555,0.564239274,0.577505905,0.595240804,0.579515132,,,,,,
28,38,0.595900381,0.59200057,0.546320962,0.552287246,0.582744147,,,,,,
32,42,0.603907802,0.614694379,0.596522115,0.598332386,0.604755816,,,,,,
36,46,0.670467008,0.680421422,0.475506669,0.284736121,0.534280618,,,,,,
40,50,0.384564612,0.410606075,0.404460801,0.417380942,0.404788087,,,,,,
,,0.542800822,0.531711945,0.507430835,0.489627972,,,,,,,
begin,0,4,8,12,16,20,24,28,32,36,40,
end,10,14,18,22,26,30,34,38,42,46,50,
f1_1,0.633290636,0.528373701,0.446249802,0.538786789,0.478114013,0.554902747,0.536251555,0.595900381,0.603907802,0.670467008,0.384564612,0.542800822
f1_2,0.593353513,0.385420073,0.383835443,0.540858044,0.502619051,0.58078355,0.564239274,0.59200057,0.614694379,0.680421422,0.410606075,0.531711945
f1_3,0.552561918,0.365818912,0.38209706,0.551735558,0.561999805,0.567209476,0.577505905,0.546320962,0.596522115,0.475506669,0.404460801,0.507430835
f1_4,0.556722662,0.322399867,0.451749865,0.537338492,0.531206573,0.538512739,0.595240804,0.552287246,0.598332386,0.284736121,0.417380942,0.489627972
f1_all,0.589646854,0.409971314,0.418568058,0.542437169,0.524243121,0.570252367,0.579515132,0.582744147,0.604755816,0.534280618,0.404788087,
