day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd,,,macro_f1,return,hold,buy_throd,,,,,
0,0.636996786,6959,0.795085501,0.640159046,0.002552424,0.070799694,-0.086671531,0.856559604,0.818858713,0.837709159,,0.636996786,0.070799694,-0.086671531,0.856559604,,,,,
1,0.593259116,8058,0.75440556,0.642375391,0.000886214,0.060768822,-0.007280111,0.852255285,0.824758351,0.838506818,,0.593259116,0.060768822,-0.007280111,0.852255285,,,,,
2,0.562643365,2123,0.765426284,0.617230769,0.00106034,0.017780219,-0.026477456,0.870990008,0.835295945,0.853142977,,0.562643365,0.017780219,-0.026477456,0.870990008,,,,,
3,0.560008481,6233,0.752286219,0.653017701,0.001227638,0.052154774,-0.021993935,0.852280527,0.816353664,0.834317096,,0.560008481,0.052154774,-0.021993935,0.852280527,,,,,
4,0.528685705,15519,0.817642889,0.698557806,0.000525421,0.263313714,-0.092730939,0.832810834,0.804598361,0.818704598,,0.528685705,0.263313714,-0.092730939,0.832810834,,0.070799694,0.060768822,0.017780219,0.052154774
5,0.383096751,20056,0.799411647,0.675294705,0.000489602,0.279659109,-0.011088073,0.824139118,0.794352189,0.809245654,,0.383096751,0.279659109,-0.011088073,0.824139118,,0.263313714,0.279659109,0.503512679,0.66234208
6,0.366792602,21012,0.803255283,0.741734803,0.000862859,0.503512679,-0.062291145,0.846319318,0.800917953,0.823618636,,0.366792602,0.503512679,-0.062291145,0.846319318,,0.101891423,0.016840073,0.030966923,0.075725866
7,0.319818901,24973,0.809474232,0.772347267,0.000710852,0.66234208,-0.001849055,0.850301996,0.793226928,0.821764462,,0.319818901,0.66234208,-0.001849055,0.850301996,,0.070434198,0.081996562,0.081428391,0.067175451
8,0.388075394,3385,0.752732644,0.826923077,0.001018993,0.101891423,0.032752633,0.640549466,0.634143829,0.637346648,,0.388075394,0.101891423,0.032752633,0.640549466,,0.017358773,0.02979541,0.067268116,0.047631678
9,0.330436246,1620,0.638888889,0.744927536,0.002922136,0.016840073,0.014588475,0.676106393,0.6451184,0.660612397,,0.330436246,0.016840073,0.014588475,0.676106393,,0.063915793,0.10121614,0.114655462,0.019915623
10,0.34566132,1834,0.677753544,0.77071601,0.00150638,0.030966923,0.029000401,0.690208852,0.661814228,0.67601154,,0.34566132,0.030966923,0.029000401,0.690208852,,0.020443535,0.072733059,0.065915508,0.075583629
11,0.451100571,4370,0.765675057,0.734907352,0.00073517,0.075725866,-0.035710454,0.690075994,0.682307646,0.68619182,,0.451100571,0.075725866,-0.035710454,0.690075994,,0.081284458,0.061960289,0.021033351,0.023965076
12,0.53085067,4518,0.80522355,0.694612424,0.000694828,0.070434198,0.010552883,0.75747937,0.74474971,0.75111454,,0.53085067,0.070434198,0.010552883,0.75747937,,0.075096141,0.11981603,0.142601682,0.057867049
13,0.535281241,4857,0.808317892,0.699949058,0.000415197,0.081996562,-0.045300484,0.752228796,0.736661613,0.744445205,,0.535281241,0.081996562,-0.045300484,0.752228796,,0.10607971,0.095225138,-0.026203459,-0.121000483
14,0.552751259,5635,0.812244898,0.679702862,0.000463014,0.081428391,0.04042685,0.753269404,0.736903548,0.745086476,,0.552751259,0.081428391,0.04042685,0.753269404,,0.036740877,0.078716773,-0.001113361,0.009210932
15,0.534046154,4490,0.810690423,0.687912088,0.00056624,0.067175451,-0.034826219,0.750325561,0.728924543,0.739625052,,0.534046154,0.067175451,-0.034826219,0.750325561,,0.08248712,0.0907934,0.09253141,0.088233789
16,0.461870337,1736,0.752880184,0.646518745,0.000641885,0.017358773,0.008763075,0.809143603,0.795700371,0.802421987,,0.461870337,0.017358773,0.008763075,0.809143603,,,,,
17,0.493040494,2367,0.762146177,0.655210643,0.000417307,0.02979541,0.029282689,0.80663538,0.797262609,0.801948995,,0.493040494,0.02979541,0.029282689,0.80663538,,,,,
18,0.574769783,4766,0.806966009,0.678367135,0.000320339,0.067268116,-0.035875738,0.829407871,0.822141528,0.8257747,,0.574769783,0.067268116,-0.035875738,0.829407871,,,,,
19,0.528861672,3242,0.779765577,0.704905063,0.000891029,0.047631678,0.014358401,0.821241245,0.816669434,0.81895534,,0.528861672,0.047631678,0.014358401,0.821241245,,,,,
20,0.586846409,4060,0.827832512,0.661707825,0.000425798,0.063915793,0.005700827,0.932485819,0.887858674,0.910172247,,0.586846409,0.063915793,0.005700827,0.932485819,,,,,
21,0.610063363,5071,0.814435023,0.7031477,0.000702518,0.10121614,-0.009254098,0.913340747,0.890825272,0.90208301,,0.610063363,0.10121614,-0.009254098,0.913340747,,,,,
22,0.593432689,6183,0.836648876,0.701913783,0.000411754,0.114655462,-0.02273953,0.915636107,0.8879008,0.901768454,,0.593432689,0.114655462,-0.02273953,0.915636107,,,,,
23,0.563278683,1805,0.792797784,0.63661775,0.001009707,0.019915623,0.005147576,0.93424207,0.896761656,0.915501863,,0.563278683,0.019915623,0.005147576,0.93424207,,,,,
24,0.573015787,1427,0.850035039,0.639736191,0.000240567,0.020443535,0.015030861,0.971117854,0.931761205,0.95143953,,0.573015787,0.020443535,0.015030861,0.971117854,,,,,
25,0.606013809,3331,0.840288202,0.692032869,0.001880389,0.072733059,0.078645945,0.955857366,0.91107136,0.933464363,,0.606013809,0.072733059,0.078645945,0.955857366,,,,,
26,0.62148751,4049,0.852309212,0.685308606,0.000310811,0.065915508,0.002600789,0.943378419,0.904689729,0.924034074,,0.62148751,0.065915508,0.002600789,0.943378419,,,,,
27,0.632528636,4522,0.823971694,0.696457327,0.000427958,0.075583629,-0.067028224,0.942457736,0.903385118,0.922921427,,0.632528636,0.075583629,-0.067028224,0.942457736,,,,,
28,0.6482153,3718,0.878160301,0.70719755,0.000354083,0.081284458,0.024565578,0.948279798,0.97764948,0.962964639,,0.6482153,0.081284458,0.024565578,0.948279798,,,,,
29,0.635928246,3163,0.868795447,0.686317322,0.000213255,0.061960289,-0.025275588,0.947496057,0.977418065,0.962457061,,0.635928246,0.061960289,-0.025275588,0.947496057,,,,,
30,0.577672,1366,0.855783309,0.633019675,0.000238051,0.021033351,0.002671599,0.949418649,0.97968483,0.96455174,,0.577672,0.021033351,0.002671599,0.949418649,,,,,
31,0.578164242,1388,0.865273775,0.670274771,0.000220294,0.023965076,0.00660193,0.950809136,0.977895439,0.964352288,,0.578164242,0.023965076,0.00660193,0.950809136,,,,,
32,0.654514907,3356,0.89511323,0.721704394,0.00021016,0.075096141,0.046278238,0.980564728,0.979153752,0.97985924,,0.654514907,0.075096141,0.046278238,0.980564728,,,,,
33,0.66622432,4181,0.889260942,0.734265734,0.000526279,0.11981603,-0.004026175,0.970514253,0.978957236,0.974735745,,0.66622432,0.11981603,-0.004026175,0.970514253,,,,,
34,0.661025563,4607,0.897981333,0.761904762,0.000255767,0.142601682,-0.031996906,0.971369028,0.977443188,0.974406108,,0.661025563,0.142601682,-0.031996906,0.971369028,,,,,
35,0.634233747,2549,0.896429973,0.695842451,0.000315334,0.057867049,-0.008506954,0.985709339,0.984567076,0.985138208,,0.634233747,0.057867049,-0.008506954,0.985709339,,,,,
36,0.690266802,3299,0.916944529,0.754710744,0.000424943,0.10607971,-0.029208601,0.981338561,0.975237161,0.978287861,,0.690266802,0.10607971,-0.029208601,0.981338561,,,,,
37,0.686355027,3153,0.908658421,0.759511344,0.000196156,0.095225138,-0.018221855,0.978433132,0.974942714,0.976687923,,0.686355027,0.095225138,-0.018221855,0.978433132,,,,,
38,0.47301475,5030,0.535586481,0.649591685,0.029706388,-0.026203459,-0.056948841,0.978805065,0.972360387,0.975582726,,0.47301475,-0.026203459,-0.056948841,0.978805065,,,,,
39,0.296411482,12124,0.472203893,0.736069869,0.121126222,-0.121000483,-0.163339019,0.935161754,0.925147682,0.930154718,,0.296411482,-0.121000483,-0.163339019,0.935161754,,,,,
40,0.356296053,5224,0.583460949,0.725393701,0.004881348,0.036740877,-0.044496298,0.516394973,0.52657944,0.521487207,,0.356296053,0.036740877,-0.044496298,0.516394973,,,,,
41,0.385240302,7283,0.598242482,0.714023411,0.006902404,0.078716773,0.042402267,0.520808354,0.529202089,0.525005222,,0.385240302,0.078716773,0.042402267,0.520808354,,,,,
42,0.383877108,5390,0.592949907,0.650500626,0.008914716,-0.001113361,-0.094269991,0.594550386,0.598215401,0.596382894,,0.383877108,-0.001113361,-0.094269991,0.594550386,,,,,
43,0.402756514,4668,0.600471294,0.694612915,0.002953795,0.009210932,0.004249573,0.627563611,0.64339447,0.635479041,,0.402756514,0.009210932,0.004249573,0.627563611,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,macro_f1,return,hold,buy_throd,,,,,
all,0.593457641,23247,0.766593539,0.642444307,0.002691689,0.20169808,-0.136011124,0.855689719,0.822300956,,,0.593457641,0.20169808,-0.136011124,0.855689719,,,,,
all,0.408970319,81462,0.806646044,0.726042824,0.000690285,1.712110463,-0.158636093,0.839880079,0.797905207,,,0.408970319,1.712110463,-0.158636093,0.839880079,,,,,
all,0.382779495,10984,0.727967953,0.761130565,0.002526228,0.210262106,0.039919496,0.673724234,0.661093414,,,0.382779495,0.210262106,0.039919496,0.673724234,,,,,
all,0.538605945,19510,0.809021015,0.69126964,0.000592278,0.301846827,-0.029113829,0.753386766,0.736717209,,,0.538605945,0.301846827,-0.029113829,0.753386766,,,,,
all,0.522353143,12102,0.783506858,0.67538494,0.000697637,0.161852006,0.015250683,0.819854662,0.812967271,,,0.522353143,0.161852006,0.015250683,0.819854662,,,,,
all,0.598582869,17069,0.822016521,0.686479937,0.000771089,0.299602739,-0.021227717,0.921352744,0.889778331,,,0.598582869,0.299602739,-0.021227717,0.921352744,,,,,
all,0.618992004,13272,0.839285714,0.685698896,0.001821669,0.235547819,0.025803208,0.950433969,0.909062296,,,0.618992004,0.235547819,0.025803208,0.950433969,,,,,
all,0.622677262,9635,0.869849507,0.685121107,0.000354085,0.188232287,0.009094596,0.94856143,0.977906615,,,0.622677262,0.188232287,0.009094596,0.94856143,,,,,
all,0.655390072,14649,0.895351219,0.735742604,0.000527057,0.395222475,0.001190066,0.976637721,0.979683593,,,0.655390072,0.395222475,0.001190066,0.976637721,,,,,
all,0.54149001,22598,0.643950792,0.720931831,0.09556814,0.104877968,-0.248160899,0.964909732,0.956247598,,,0.54149001,0.104877968,-0.248160899,0.964909732,,,,,
all,0.382769948,20496,0.594896565,0.675305503,0.009943377,0.055282156,-0.095256925,0.569198459,0.57994546,,,0.382769948,0.055282156,-0.095256925,0.569198459,,,,,
