day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
0,0.6353981209619781,7505,0.7846768820786038,0.6096111394124706,0.0033848942875862598,0.06375847469329865,-0.08667153120040894,0.8095254302024841,0.8076415657997131
1,0.5948175374707024,8439,0.7556582533475441,0.6132977889289695,0.0011372636719491232,0.05299117188096087,-0.007280111312866211,0.811536431312561,0.8081977963447571
2,0.5516641062307808,2241,0.7576974564926033,0.6042402826855358,0.0009184654406194626,0.016937315051555643,-0.026477456092834473,0.8347159326076508,0.8026314228773117
3,0.5597316957223117,6675,0.7376779026217118,0.6344435418359131,0.0013649426571426368,0.044093348070383155,-0.021993935108184814,0.8082918524742126,0.7878341674804688
all,0.5915068535658511,24719,0.7589708321534012,0.6192100634294567,0.0033439934921264403,0.1783270813679678,-0.13601112365722656,0.8129317462444305,0.8025497794151306
4,0.5322535744236219,16693,0.8194452764631833,0.6998318590540267,0.0006228528273531275,0.2704977398049803,-0.09273093938827515,0.8043962717056274,0.7961339056491852
5,0.38010168621497814,21618,0.8102044592469202,0.6779332001141897,0.0007197990516082974,0.29910565880059925,-0.011088073253631592,0.7928873896598816,0.7826279401779175
6,0.3650951917062753,22687,0.8167673116762868,0.7410145709660024,0.0008295467601561265,0.5492116859316787,-0.06229114532470703,0.8095903694629669,0.7917992472648621
7,0.32146927356533295,26671,0.8192793671028428,0.7768980824676226,0.0007249157505655188,0.7197015911245217,-0.001849055290222168,0.808832123875618,0.7850987762212753
all,0.40978877868292996,87623,0.8167147894959077,0.7305590877967669,0.0006642150949454237,1.841196189256924,-0.15863609313964844,0.8043030500411987,0.7884807288646698
8,0.4182741058766543,4628,0.7815471045807956,0.7926458390931769,0.0008985338392854893,0.12448270726799962,0.0327526330947876,0.629201352596283,0.6038530766963959
9,0.34150941285874564,1785,0.67731092436971,0.7634408602150733,0.0015058731434198277,0.031225274438857992,0.014588475227355957,0.6362461149692535,0.5977355092763901
10,0.3451892183335461,1827,0.7148330596606067,0.75574272588057,0.0008688654108006829,0.03548566209793092,0.029000401496887207,0.6475759446620941,0.6036397069692612
11,0.44126161105174305,4163,0.7814076387220567,0.7611435597909695,0.0012470363048967682,0.0855986726927755,-0.03571045398712158,0.6538707911968231,0.6135623306035995
all,0.3899852174476912,12300,0.7548780487804817,0.7737210554658075,0.001264474686424988,0.2734217292869084,0.039919495582580566,0.6419805586338043,0.6066289097070694
12,0.5382322459071794,5302,0.7946058091286157,0.6774270116306746,0.0007823497987684144,0.06864265443086635,0.01055288314819336,0.7472629249095917,0.7216871976852417
13,0.5425711570034982,5858,0.8035165585523932,0.6785638410877485,0.0006053440332166782,0.07728809022188184,-0.04530048370361328,0.7448208332061768,0.718166708946228
14,0.5599080794215737,6752,0.8256812796208408,0.6509417040358807,0.0004248300944743433,0.08081082694530461,0.04042685031890869,0.7481742203235626,0.7222521305084229
