day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd,,,,,,
0,0.635398121,7505,0.784676882,0.609611139,0.003384894,0.063758475,-0.086671531,0.80952543,0.807641566,0.808583498,,,,,
1,0.594817537,8439,0.755658253,0.613297789,0.001137264,0.052991172,-0.007280111,0.811536431,0.808197796,0.809867114,,,,,
2,0.551664106,2241,0.757697456,0.604240283,0.000918465,0.016937315,-0.026477456,0.834715933,0.802631423,0.818673678,,,,,
3,0.559731696,6675,0.737677903,0.634443542,0.001364943,0.044093348,-0.021993935,0.808291852,0.787834167,0.79806301,,,,,
4,0.532253574,16693,0.819445276,0.699831859,0.000622853,0.27049774,-0.092730939,0.804396272,0.796133906,0.800265089,,,,,
5,0.380101686,21618,0.810204459,0.6779332,0.000719799,0.299105659,-0.011088073,0.79288739,0.78262794,0.787757665,,,,,
6,0.365095192,22687,0.816767312,0.741014571,0.000829547,0.549211686,-0.062291145,0.809590369,0.791799247,0.800694808,,,,,
7,0.321469274,26671,0.819279367,0.776898082,0.000724916,0.719701591,-0.001849055,0.808832124,0.785098776,0.79696545,,,,,
8,0.418274106,4628,0.781547105,0.792645839,0.000898534,0.124482707,0.032752633,0.629201353,0.603853077,0.616527215,,,,,
9,0.341509413,1785,0.677310924,0.76344086,0.001505873,0.031225274,0.014588475,0.636246115,0.597735509,0.616990812,,,,,
10,0.345189218,1827,0.71483306,0.755742726,0.000868865,0.035485662,0.029000401,0.647575945,0.603639707,0.625607826,,,,,
11,0.441261611,4163,0.781407639,0.76114356,0.001247036,0.085598673,-0.035710454,0.653870791,0.613562331,0.633716561,,,,,
12,0.538232246,5302,0.794605809,0.677427012,0.00078235,0.068642654,0.010552883,0.747262925,0.721687198,0.734475062,,,,,
13,0.542571157,5858,0.803516559,0.678563841,0.000605344,0.07728809,-0.045300484,0.744820833,0.718166709,0.731493771,,,,,
14,0.559908079,6752,0.82568128,0.650941704,0.00042483,0.080810827,0.04042685,0.74817422,0.722252131,0.735213176,,,,,
15,0.543840363,5382,0.805648458,0.664898524,0.000816566,0.064688756,-0.034826219,0.741311848,0.716950253,0.729131051,,0.063758475,0.052991172,0.016937315,0.044093348
16,0.457063772,1861,0.729177861,0.633750921,0.000820258,0.013258137,0.008763075,0.771074057,0.716035143,0.7435546,,0.27049774,0.299105659,0.549211686,0.719701591
17,0.479904288,2434,0.737469187,0.642339833,0.000603733,0.025630414,0.029282689,0.778509349,0.723445714,0.750977532,,0.124482707,0.031225274,0.035485662,0.085598673
18,0.556396856,4563,0.778216086,0.68149817,0.000561646,0.055502525,-0.035875738,0.798907876,0.744414389,0.771661133,,0.068642654,0.07728809,0.080810827,0.064688756
19,0.520299925,3281,0.75921975,0.691288639,0.000816809,0.04195397,0.014358401,0.793051094,0.739043951,0.766047523,,0.013258137,0.025630414,0.055502525,0.04195397
20,0.576879516,3931,0.823963368,0.672429762,0.000450044,0.061984958,0.005700827,0.907571018,0.856939882,0.88225545,,0.061984958,0.095784755,0.107122731,0.017842388
21,0.603356811,5018,0.804304504,0.695490585,0.000636507,0.095784755,-0.009254098,0.886575758,0.854766339,0.870671049,,0.016804648,0.066069018,0.058805645,0.065286874
22,0.596157286,6169,0.824444805,0.697797877,0.000305345,0.107122731,-0.02273953,0.889792934,0.852686405,0.87123967,,0.081053911,0.060557858,0.020566878,0.022561699
23,0.550773816,1755,0.768091168,0.647626113,0.000601862,0.017842388,0.005147576,0.906758904,0.860013217,0.883386061,,0.069017968,0.113674532,0.13591934,0.053218962
24,0.552113315,1321,0.821347464,0.629493088,0.00026201,0.016804648,0.015030861,0.937260568,0.91737628,0.927318424,,0.105419377,0.094711321,-0.0249761,-0.120663668
