day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
0,0.493302762873511,9074,0.7174344280361393,0.5924731182795762,0.007250448445193511,0.007180066860914335,-0.042211830615997314,0.6121999025344849,0.6144360899925232
1,0.5058749520615659,10355,0.7507484307097948,0.6459994854643729,0.005532769016089686,0.07777050499916006,0.08480477333068848,0.6174317598342896,0.6316002458333969
2,0.510156527289879,12273,0.7437464352643954,0.6087861524978132,0.0031533041632276254,0.04244868271112523,0.012515544891357422,0.617998331785202,0.6264590620994568
3,0.4880625040436349,8305,0.7331727874774144,0.6017408441451864,0.0023739396764132894,0.012831662182808014,0.032711029052734375,0.6123695969581604,0.6163695007562637
all,0.5002355065902745,39931,0.7388495154140874,0.6132257736501385,0.006595880188352628,0.1416394557809801,0.0858008861541748,0.6152534186840057,0.6228811144828796
4,0.45304654605993666,5237,0.7068932594997,0.6185845488925008,0.0015714575757582118,0.01579263806462298,0.02497577667236328,0.6259023547172546,0.6426417231559753
5,0.45172179998763357,4383,0.7095596623317201,0.6228295819935812,0.0019530118356192831,0.015731773527860708,-0.021951377391815186,0.6321074068546295,0.6473784297704697
6,0.5022699201764592,8553,0.7352975564129459,0.6447765940531143,0.0009586300820622366,0.05332076816201233,-0.02059638500213623,0.6426730453968048,0.6625586152076721
7,0.48292190239665284,6183,0.723596959404808,0.6153330353151628,0.0009816384796366032,0.02328202970385571,-0.006139934062957764,0.6383027732372284,0.6561427861452103
all,0.4748870108017615,24378,0.7230289605381872,0.6272551911948279,0.0020219389560196866,0.10680890218138453,-0.024069488048553467,0.6362229883670807,0.6540355086326599
