day,,trade_time,winrate,usefulrate,drowdown,,hold,buy_throd,sell_throd,day,Pre-train,Origin,day,Pre-train,Origin
2022/8/9,,9074,0.717434428,0.592473118,0.007250448,,-0.042211831,0.612199903,0.61443609,2022/8/9,0.493302763,0.499240154,2022/8/9,0.007180067,0.014493131
2022/8/10,,10355,0.750748431,0.645999485,0.005532769,,0.084804773,0.61743176,0.631600246,2022/8/10,0.505874952,0.509367262,2022/8/10,0.077770505,0.065420609
2022/8/11,,12273,0.743746435,0.608786152,0.003153304,,0.012515545,0.617998332,0.626459062,2022/8/11,0.510156527,0.5135058,2022/8/11,0.042448683,0.044817178
2022/8/12,,8305,0.733172787,0.601740844,0.00237394,,0.032711029,0.612369597,0.616369501,2022/8/12,0.488062504,0.493157992,2022/8/12,0.012831662,0.014591786
2022/8/13,,5237,0.706893259,0.618584549,0.001571458,,0.024975777,0.625902355,0.642641723,2022/8/13,0.453046546,0.474737042,2022/8/13,0.015792638,0.005855686
2022/8/14,,4383,0.709559662,0.622829582,0.001953012,,-0.021951377,0.632107407,0.64737843,2022/8/14,0.4517218,0.475513213,2022/8/14,0.015731774,0.010210892
2022/8/15,,8553,0.735297556,0.644776594,0.00095863,,-0.020596385,0.642673045,0.662558615,2022/8/15,0.50226992,0.508743745,2022/8/15,0.053320768,0.040372555
2022/8/16,,6183,0.723596959,0.615333035,0.000981638,,-0.006139934,0.638302773,0.656142786,2022/8/16,0.482921902,0.494263036,2022/8/16,0.02328203,0.014615634
,48.59%,804537.50%,72.76%,61.88%,0.0029719,0.031044766,0.00801345,0.624873146,0.637198307,,,,,,
,,,,,,,,,,,,,,,
all,0.500235507,39931,0.738849515,0.613225774,0.00659588,0.141639456,0.085800886,0.615253419,0.622881114,,,,,,
all,0.474887011,24378,0.723028961,0.627255191,0.002021939,0.106808902,-0.024069488,0.636222988,0.654035509,,,,,,
