day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
0,0.47744712029181224,10552,0.8255307050795979,0.37182872230513864,0.06509166331622976,-0.06491125318884852,-0.02673858404159546,0.5968622863292694,0.6044186353683472
1,0.500809472591149,12794,0.8448491480381363,0.43769081321121805,0.024597656235355696,-0.022769835026264243,0.02912724018096924,0.6104772239923477,0.6191694736480713
2,0.4965998846305435,18486,0.8680623174294014,0.400760266716524,0.05490787206283969,-0.05414045362591744,0.002668023109436035,0.6199987530708313,0.6303992867469788
3,0.48511323287546054,12977,0.8428758572859609,0.34110440665570174,0.08273527741979923,-0.08272393589615842,0.014604449272155762,0.601073831319809,0.6106758713722229
all,0.49228493717023253,54762,0.849804609035461,0.3884865805703003,0.22322354036845782,-0.22318676365971643,0.01794564723968506,0.608762577176094,0.6177061945199966
4,0.44218169689724984,7618,0.7969283276450407,0.395157305221555,0.04384001669418085,-0.043003904256820775,0.007026076316833496,0.6068601161241531,0.6449812352657318
5,0.4487316351901704,7216,0.8093126385809201,0.407191780821928,0.033348414334036715,-0.03327683604002018,-0.005444347858428955,0.6153058409690857,0.6516390740871429
6,0.49514069864194726,12903,0.8537549407114559,0.44045025417574946,0.02843125654854538,-0.02830913078665756,-0.010706067085266113,0.633966326713562,0.6752234101295471
7,0.47707576022867665,9139,0.8355399934347212,0.396804609743329,0.039997396249267736,-0.03781602832078943,-0.0023087263107299805,0.623377650976181,0.6635060906410217
all,0.46838616678206096,36848,0.829380156317844,0.41382808154183626,0.14414210610450373,-0.14314018919110041,-0.011231720447540283,0.622287929058075,0.6611718535423279
