day,macro_f1,trade_time,winrate,usefulrate,drowdown,return,hold,buy_throd,sell_throd
0,0.4992401537120877,8916,0.7376626289815978,0.5846130454614629,0.0036129235237766827,0.014493131463527755,-0.042211830615997314,0.643947184085846,0.6551617383956909
1,0.5093672620007031,10312,0.7498060512024752,0.6258406621831398,0.006603301362140841,0.06542060900688194,0.08480477333068848,0.6431330293416977,0.6727700382471085
2,0.5135058001156773,12168,0.755834976988817,0.60432749809721,0.0018416463570319576,0.04481717757105877,0.012515544891357422,0.6447819024324417,0.6675155460834503
3,0.49315799201288035,8207,0.7368100402095682,0.5950057879940533,0.0015907274807450806,0.014591785731315697,0.032711029052734375,0.6434528827667236,0.657811164855957
all,0.5046555606274388,39574,0.7464749583059566,0.6035002200331756,0.006481200870427242,0.13976930185556097,0.0858008861541748,0.6438985913991928,0.6639726758003235
4,0.4747370418138514,6198,0.7107131332687849,0.5763904653802594,0.0038200339137576147,0.005855685549974427,0.02497577667236328,0.6456535309553146,0.6408681869506836
5,0.47551321270000635,5238,0.7185948835433235,0.5940488841657918,0.0021297891454544185,0.010210892006158885,-0.021951377391815186,0.6541802883148193,0.642806887626648
6,0.5087437445867403,9902,0.7349020399919134,0.613714442764881,0.0015551994697192216,0.040372555309534514,-0.02059638500213623,0.6638457477092743,0.657831609249115
7,0.49426303559523577,7297,0.7237220775661132,0.5747017610301159,0.0018467368705041775,0.014615634185075875,-0.006139934062957764,0.660151332616806,0.6528126001358032
all,0.49071038495996494,28673,0.7246538555435402,0.5901434209259813,0.003190984990868327,0.0690244729042051,-0.024069488048553467,0.6572388261556625,0.650285542011261
